Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Materials
Rolex,Daytona,116508-0014 (aka: M116508-0014),Cosmograph Daytona Yellow Gold / Champagne,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Champagne,Sunburst,Stick / Dot,Stick,Yellow Gold
Rolex,Daytona,116505-0012,Cosmograph Daytona Everose / Pink Baguette,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Pink,Sunburst,Gem-Set Indexes,Stick,Rose Gold
Rolex,Daytona,116515LN-0018,Cosmograph Daytona Everose / Cerachrom / Pink / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2019 - 2021,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Pink,,Stick / Dot,Stick,"Ceramic, Rose Gold"
Rolex,Daytona,116515LN-0019 (aka: m116515ln-0019),Cosmograph Daytona Everose / Cerachrom / Ivory / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2019 - 2023,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Ivory,Sunburst,Stick / Dot,Stick,"Ceramic, Rose Gold"
Rolex,Daytona,116515LN-0021,Cosmograph Daytona Everose / Cerachrom / Pink Baguette / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2019 - 2023,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Pink,Sunburst,Gem-Set Indexes,Stick,"Ceramic, Rose Gold"
Rolex,Daytona,116519LN-0025 (aka: M116519ln-0025),Cosmograph Daytona White Gold / Cerachrom / Black - Diamond / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2019 - 2023,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,Gloss,Gem-Set Indexes,Stick,"Ceramic, White Gold"
Rolex,Datejust 41,126334-0022,Datejust 41 Stainless Steel Fluted / Slate - Roman / Jubilee,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2018,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,Wimbledon,Grey,Sunburst,Roman Numerals,Stick,"White Gold, Stainless Steel"
Rolex,Datejust 41,126334-0014,Datejust 41 Stainless Steel Fluted / Jubilee / Dark Rhodium,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2017,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,Grey,Sunburst,Stick / Dot,Stick,"White Gold, Stainless Steel"
Rolex,Datejust 41,126334-0001,Datejust 41 Stainless Steel Fluted / Oyster / Blue,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2017,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,Blue,Sunburst,Stick / Dot,Stick,"White Gold, Stainless Steel"
Rolex,Datejust 41,126334-0004,Datejust 41 Stainless Steel Fluted / Jubilee / Silver,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2017,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,Silver,Sunburst,Stick / Dot,Stick,"White Gold, Stainless Steel"
Rolex,Datejust 41,126333-0001,Datejust 41 Rolesor Yellow Fluted / Oyster / Silver,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2016,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,Silver,Sunburst,Stick / Dot,Stick,"Yellow Gold, Stainless Steel"
Rolex,Datejust 41,126333-0011,Datejust 41 Rolesor Yellow Fluted / Oyster / Champagne - Diamond,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2016,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,Champagne,Sunburst,Gem-Set Indexes,Stick,"Yellow Gold, Stainless Steel"
Rolex,Datejust 41,126333-0002,Datejust 41 Rolesor Yellow Fluted / Jubilee / Silver,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2016,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,Silver,Sunburst,Stick / Dot,Stick,"Yellow Gold, Stainless Steel"
Rolex,Datejust 41,126300-0022,Datejust 41 Stainless Steel Smooth / Jubilee / Green - Fluted,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2022,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,Green,,Stick / Dot,Stick,Stainless Steel
Rolex,Datejust 41,126333-0016,Datejust 41 Rolesor Yellow Fluted / Jubilee / White,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2016,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,White,,Stick / Dot,Stick,"Yellow Gold, Stainless Steel"
Rolex,Datejust 41,126333-0015,Datejust 41 Rolesor Yellow Fluted / Oyster / White,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2016,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,White,,Stick / Dot,Stick,"Yellow Gold, Stainless Steel"
Rolex,Datejust 41,126300-0012,Datejust 41 Stainless Steel Smooth / Jubilee / Black,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2017,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,Black,Sunburst,Stick / Dot,Stick,Stainless Steel
Rolex,Datejust 41,126334-0002,Datejust 41 Stainless Steel Fluted / Jubilee / Blue,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2017,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,Blue,Sunburst,Stick / Dot,Stick,"White Gold, Stainless Steel"
Rolex,Datejust 41,126334-0010,Datejust 41 Stainless Steel Fluted / Jubilee / White,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2017,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,White,Sunburst,Stick / Dot,Stick,"White Gold, Stainless Steel"
Rolex,Datejust 41,126334-0018,Datejust 41 Stainless Steel Fluted / Jubilee / Black,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2017,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,Black,Sunburst,Stick / Dot,Stick,"White Gold, Stainless Steel"
Rolex,Datejust 41,126334-0003,Datejust 41 Stainless Steel Fluted / Oyster / Silver,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2017,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,Silver,Sunburst,Stick / Dot,Stick,"White Gold, Stainless Steel"
Rolex,Datejust 41,126334-0021,Datejust 41 Stainless Steel Fluted / Slate - Roman / Oyster,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2018,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,Wimbledon,Grey,Sunburst,Roman Numerals,Stick,"White Gold, Stainless Steel"
Rolex,Datejust 41,126331-0016,Datejust 41 Rolesor Everose Fluted / Jubilee / Slate - Roman,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2021,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,Wimbledon,Grey,Sunburst,Roman Numerals,Stick,"Rose Gold, Stainless Steel"
Rolex,Datejust 41,126334-0027,Datejust 41 Stainless Steel - Fluted / Green / Oyster,"Rolex caliber 3235
Hours, Minutes, Seconds | Date | Chronometer",2022,No,,Sapphire,Closed,Round,41.00 mm,,21.00 mm,100.00 m,,Green,Sunburst,Roman Numerals,Stick,"White Gold, Stainless Steel"
